--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
./inno_ocr/temp/BAI_5_1-2/0.jpg	그에                       	0.9970
./inno_ocr/temp/BAI_5_1-2/1.jpg	해당하는                     	0.9973
./inno_ocr/temp/BAI_5_1-2/2.jpg	업체와                      	0.9754
./inno_ocr/temp/BAI_5_1-2/3.jpg	계약을                      	0.9805
./inno_ocr/temp/BAI_5_1-2/4.jpg	체결하여야                    	0.9453
./inno_ocr/temp/BAI_5_1-2/5.jpg	했다.                      	0.0485
./inno_ocr/temp/BAI_5_1-2/6.jpg	그랜데도                     	0.1099
./inno_ocr/temp/BAI_5_1-2/7.jpg	'광업소에서는                  	0.0442
./inno_ocr/temp/BAI_5_1-2/8.jpg	경비업을                     	0.9908
./inno_ocr/temp/BAI_5_1-2/9.jpg	직접                       	0.9925
./inno_ocr/temp/BAI_5_1-2/10.jpg	수행하고                     	0.9992
./inno_ocr/temp/BAI_5_1-2/11.jpg	있다는                      	0.9956
./inno_ocr/temp/BAI_5_1-2/12.jpg	증명서는                     	0.9534
./inno_ocr/temp/BAI_5_1-2/13.jpg	있으                       	0.9980
./inno_ocr/temp/BAI_5_1-2/14.jpg	나 청소                     	0.8216
./inno_ocr/temp/BAI_5_1-2/15.jpg	용역을                      	0.9763
./inno_ocr/temp/BAI_5_1-2/16.jpg	직접                       	0.9913
./inno_ocr/temp/BAI_5_1-2/17.jpg	수행하고                     	0.9991
./inno_ocr/temp/BAI_5_1-2/18.jpg	있다는                      	0.9952
./inno_ocr/temp/BAI_5_1-2/19.jpg	증명서가                     	0.9304
./inno_ocr/temp/BAI_5_1-2/20.jpg	없어                       	0.9940
./inno_ocr/temp/BAI_5_1-2/21.jpg	계약상대자                    	0.9953
./inno_ocr/temp/BAI_5_1-2/22.jpg	자격이                      	0.9876
./inno_ocr/temp/BAI_5_1-2/23.jpg	없는                       	0.9954
./inno_ocr/temp/BAI_5_1-2/24.jpg	주식회사                     	0.9580
./inno_ocr/temp/BAI_5_1-2/25.jpg	.4산산과                    	0.0203
./inno_ocr/temp/BAI_5_1-2/26.jpg	2013.                    	0.9984
./inno_ocr/temp/BAI_5_1-2/27.jpg	2.                       	0.9578
./inno_ocr/temp/BAI_5_1-2/28.jpg	19.                      	0.9759
